epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5984.47,2.23306,0.95681,2.24981,0.94058,0.9063,0.95523,0.65164,2.3884,0.97387,2.34436,0.0008912,0.0008912,0.0008912
58,6088.78,2.17934,0.9278,2.2284,0.96203,0.88633,0.95642,0.6612,2.31767,0.94763,2.27653,0.0008714,0.0008714,0.0008714
59,6193.3,2.19381,0.92649,2.21708,0.96717,0.89401,0.96001,0.65807,2.34381,0.93166,2.27167,0.0008516,0.0008516,0.0008516
60,6297.57,2.14387,0.94815,2.17716,0.947,0.90573,0.9608,0.66369,2.29005,0.90385,2.26218,0.0008318,0.0008318,0.0008318
61,6402.07,2.19259,0.92827,2.2142,0.97017,0.89094,0.95592,0.65872,2.35495,0.95961,2.28034,0.000812,0.000812,0.000812
62,6506.32,2.19167,0.91517,2.21559,0.97119,0.88479,0.96029,0.66681,2.29051,0.93074,2.27131,0.0007922,0.0007922,0.0007922
63,6610.79,2.17419,0.90741,2.21526,0.9568,0.89247,0.95326,0.65003,2.32198,0.93247,2.29641,0.0007724,0.0007724,0.0007724
64,6715.07,2.15184,0.91043,2.20079,0.98031,0.87865,0.95751,0.6598,2.31871,0.93454,2.2666,0.0007526,0.0007526,0.0007526
65,6819.38,2.1559,0.91744,2.21132,0.96363,0.89537,0.95228,0.65967,2.35506,0.94606,2.30235,0.0007328,0.0007328,0.0007328
66,6923.74,2.13274,0.90474,2.19325,0.9805,0.89401,0.96234,0.67027,2.32623,0.89738,2.28097,0.000713,0.000713,0.000713
67,7028.23,2.13772,0.88929,2.22604,0.96986,0.89094,0.96303,0.67791,2.30531,0.91595,2.27261,0.0006932,0.0006932,0.0006932
68,7132.73,2.10808,0.88721,2.18661,0.96132,0.91091,0.96361,0.67042,2.32432,0.89145,2.25648,0.0006734,0.0006734,0.0006734
69,7237.15,2.09943,0.85979,2.19138,0.94971,0.90937,0.95682,0.66605,2.30523,0.89846,2.25485,0.0006536,0.0006536,0.0006536
70,7341.4,2.10277,0.87382,2.19379,0.97152,0.89401,0.95712,0.66724,2.32386,0.91286,2.26834,0.0006338,0.0006338,0.0006338
71,7445.69,2.05806,0.86797,2.16406,0.95881,0.8894,0.95619,0.65714,2.29456,0.90384,2.24994,0.000614,0.000614,0.000614
72,7549.97,2.09621,0.86036,2.18463,0.96851,0.89401,0.95889,0.67032,2.30243,0.89501,2.25794,0.0005942,0.0005942,0.0005942
73,7654.4,2.07109,0.8657,2.16275,0.95142,0.90255,0.95738,0.66827,2.3303,0.90016,2.29179,0.0005744,0.0005744,0.0005744
74,7758.79,2.04683,0.85186,2.16376,0.95861,0.90937,0.96049,0.66287,2.33711,0.92443,2.31018,0.0005546,0.0005546,0.0005546
75,7863.31,2.03179,0.82156,2.16296,0.9399,0.91283,0.95868,0.66277,2.31433,0.88274,2.29016,0.0005348,0.0005348,0.0005348
76,7967.56,2.00576,0.8277,2.16064,0.96247,0.90597,0.95987,0.66776,2.32771,0.92028,2.28465,0.000515,0.000515,0.000515
77,8071.74,2.00181,0.81414,2.14641,0.97158,0.88786,0.95977,0.66461,2.3106,0.90281,2.27664,0.0004952,0.0004952,0.0004952
78,8176.01,1.97846,0.81174,2.13235,0.95744,0.89846,0.95976,0.66578,2.31712,0.90572,2.28946,0.0004754,0.0004754,0.0004754
79,8280.25,2.00983,0.81132,2.14866,0.97197,0.90552,0.96404,0.67204,2.31007,0.90561,2.29037,0.0004556,0.0004556,0.0004556
80,8384.45,2.00453,0.8307,2.13316,0.96682,0.89708,0.96699,0.67012,2.29222,0.86974,2.26655,0.0004358,0.0004358,0.0004358
81,8488.68,1.97933,0.81719,2.12967,0.96808,0.89708,0.95675,0.66369,2.30774,0.89237,2.27939,0.000416,0.000416,0.000416
82,8592.96,1.96375,0.80673,2.11949,0.9399,0.91286,0.95713,0.66853,2.25658,0.88087,2.25236,0.0003962,0.0003962,0.0003962
83,8697.14,1.92952,0.80806,2.08984,0.9691,0.89708,0.95991,0.66508,2.30452,0.88325,2.27236,0.0003764,0.0003764,0.0003764
84,8801.25,1.93373,0.79595,2.10634,0.94655,0.91551,0.95959,0.67196,2.27054,0.85063,2.26169,0.0003566,0.0003566,0.0003566
85,8905.44,1.91013,0.78367,2.10805,0.95646,0.91116,0.96018,0.66581,2.29857,0.86263,2.26154,0.0003368,0.0003368,0.0003368
86,9009.63,1.91348,0.78831,2.09243,0.95356,0.91471,0.96622,0.67691,2.29235,0.83877,2.27388,0.000317,0.000317,0.000317
87,9113.8,1.8865,0.77015,2.08457,0.96883,0.91705,0.969,0.6702,2.30591,0.83517,2.26083,0.0002972,0.0002972,0.0002972
88,9218.03,1.89888,0.79145,2.07001,0.96884,0.90746,0.96886,0.67633,2.28406,0.83168,2.26586,0.0002774,0.0002774,0.0002774
